MovieID,Title,Genres,Original Title,Year
90,The journey of august king,Drama,,1995
92,Mary Reilly,Drama|Thriller,,1996
93,Vampire in Brooklyn,Comedy|Romance,,1995
94,Beautiful Girls,Drama,,1996
95,Broken Arrow,Action|Thriller,,1996
96,In the Bleak Midwinter,Comedy,,1995
97,Hate,Drama,La haine,1995
98,Shopping,Action|Thriller,,1994
99,Heidi Fleiss: Hollywood Madam,Documentary,,1995
100,City Hall,Drama|Thriller,,1996
101,Bottle Rocket,Comedy,,1996
102,Mr. Wrong,Comedy,,1996
103,Unforgettable,Thriller,,1996
104,Happy Gilmore,Comedy,,1996
105,The bridges of madison county,Drama|Romance,,1995
106,Nobody Loves Me,Comedy|Drama,Keiner liebt mich,1994
107,Muppet Treasure Island,Adventure|Children's|Comedy|Musical,,1996
108,Catwalk,Documentary,,1995
109,Headless Body in Topless Bar,Comedy,,1995
110,Braveheart,Action|Drama|War,,1995
111,Taxi Driver,Drama|Thriller,,1976
112,Rumble in the Bronx,Action|Adventure|Crime,,1995
113,Before and After,Drama|Mystery,,1996
114,Margaret's Museum,Drama,,1995
115,Happiness Is in the Field,Comedy,,1995
116,Anne Frank Remembered,Documentary,,1995
117,The young poisoner's handbook,Crime,,1995
118,If Lucy Fell,Comedy|Romance,,1996
119,Steal BigSteal Little,Comedy,,1995
120,Race the Sun,Drama,,1996
121,The boys of st. vincent,Drama,,1993
122,Boomerang,Comedy|Romance,,1992
123,Chungking Express,Drama|Mystery|Romance,,1994
124,The star maker,Drama,Uomo delle stelleL',1995
125,Flirting With Disaster,Comedy,,1996
126,The neverending story iii,Adventure|Children's|Fantasy,,1994
127,The silence of the palace,Drama,Saimt el Qusur,1994
128,Jupiter's Wife,Documentary,,1994
129,Pie in the Sky,Comedy|Romance,,1995
130,Angela,Drama,,1995
131,Frankie Starlight,Drama|Romance,,1995
132,Jade,Thriller,,1995
133,Nueba Yol,Comedy|Drama,,1995
134,Sonic Outlaws,Documentary,,1995
135,Down Periscope,Comedy,,1996
136,From the Journals of Jean Seberg,Documentary,,1995
137,Man of the Year,Documentary,,1995
138,The neon bible,Drama,,1995
139,Target,Action|Drama,,1995
140,Up Close and Personal,Drama|Romance,,1996
141,The birdcage,Comedy,,1996
142,Shadows,Drama,Cienie,1988
143,Gospa,Drama,,1995
144,The brothers mcmullen,Comedy,,1995
145,Bad Boys,Action,,1995
146,The amazing panda adventure,Adventure|Children's,,1995
147,The basketball diaries,Drama,,1995
148,An awfully big adventure,Drama,,1995
149,Amateur,Crime|Drama|Thriller,,1994
150,Apollo 13,Drama,,1995
151,Rob Roy,Drama|Romance|War,,1995
152,The addiction,Horror,,1995
153,Batman Forever,Action|Adventure|Comedy|Crime,,1995
154,Belle de jour,Drama,,1967
155,Beyond Rangoon,Drama|War,,1995
156,Blue in the Face,Comedy,,1995
157,Canadian Bacon,Comedy|War,,1994
158,Casper,Adventure|Children's,,1995
159,Clockers,Drama,,1995
160,Congo,Action|Adventure|Mystery|Sci-Fi,,1995
161,Crimson Tide,Drama|Thriller|War,,1995
162,Crumb,Documentary,,1994
163,Desperado,Action|Romance|Thriller,,1995
164,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,,1995
165,Die Hard: With a Vengeance,Action|Thriller,,1995
166,The doom generation,Comedy|Drama,,1995
167,Feast of July,Drama,,1995
168,First Knight,Action|Adventure|Drama|Romance,,1995
169,Free Willy 2: The Adventure Home,Adventure|Children's|Drama,,1995
170,Hackers,Action|Crime|Thriller,,1995
171,Jeffrey,Comedy,,1995
172,Johnny Mnemonic,Action|Sci-Fi|Thriller,,1995
173,Judge Dredd,Action|Adventure|Sci-Fi,,1995
174,Jury Duty,Comedy,,1995
175,Kids,Drama,,1995
176,Living in Oblivion,Comedy,,1995
177,Lord of Illusions,Horror,,1995
178,Love & Human Remains,Comedy,,1993
179,Mad Love,Drama|Romance,,1995
180,Mallrats,Comedy,,1995
181,Mighty Morphin Power Rangers: The Movie,Action|Children's,,1995
182,Moonlight and Valentino,Drama|Romance,,1995
183,Mute Witness,Thriller,,1994
184,Nadja,Drama,,1994
185,The net,Sci-Fi|Thriller,,1995
186,Nine Months,Comedy,,1995
187,Party Girl,Comedy,,1995
188,The prophecy,Horror,,1995
189,Reckless,Comedy,,1995
190,Safe,Thriller,,1995
191,The scarlet letter,Drama,,1995
192,The show,Documentary,,1995
193,Showgirls,Drama,,1995
194,Smoke,Drama,,1995
195,Something to Talk About,Comedy|Drama|Romance,,1995
196,Species,Horror|Sci-Fi,,1995
197,The stars fell on henrietta,Drama,,1995
198,Strange Days,Action|Crime|Sci-Fi,,1995
199,The umbrellas of cherbourg,Drama|Musical,Parapluies de CherbourgLes,1964
200,The tie that binds,Thriller,,1995
201,Three Wishes,Drama,,1995
202,Total Eclipse,Drama|Romance,,1995
203,To Wong FooThanks for Everything! Julie Newmar,Comedy,,1995
204,Under Siege 2: Dark Territory,Action,,1995
205,Unstrung Heroes,Comedy|Drama,,1995
206,Unzipped,Documentary,,1995
207,A walk in the clouds,Drama|Romance,,1995
208,Waterworld,Action|Adventure,,1995
209,White Man's Burden,Drama,,1995
210,Wild Bill,Western,,1995
211,The browning version,Drama,,1994
212,Bushwhacked,Comedy,,1995
213,Burnt By the Sun,Drama,Utomlyonnye solntsem,1994
214,Before the Rain,Drama,Pred dozhdot,1994
215,Before Sunrise,Drama|Romance,,1995
216,Billy Madison,Comedy,,1995
217,The babysitter,Drama|Thriller,,1995
218,Boys on the Side,Comedy|Drama,,1995
219,The cure,Drama,,1995
220,Castle Freak,Horror,,1995
222,Circle of Friends,Drama|Romance,,1995
223,Clerks,Comedy,,1994
224,Don Juan DeMarco,Comedy|Drama|Romance,,1995
225,Disclosure,Drama|Thriller,,1994
226,Dream Man,Thriller,,1995
227,Drop Zone,Action,,1994
228,Destiny Turns on the Radio,Comedy,,1995
229,Death and the Maiden,Drama|Thriller,,1994
230,Dolores Claiborne,Drama|Thriller,,1994
231,Dumb & Dumber,Comedy,,1994
232,Eat Drink Man Woman,Comedy|Drama,,1994
233,Exotica,Drama,,1994
234,Exit to Eden,Comedy,,1994
235,Ed Wood,Comedy|Drama,,1994
236,French Kiss,Comedy|Romance,,1995
237,Forget Paris,Comedy|Romance,,1995
238,Far From Home: The Adventures of Yellow Dog,Adventure|Children's,,1995
239,A goofy movie,Animation|Children's|Comedy|Romance,,1995
240,Hideaway,Thriller,,1995
241,Fluke,Children's|Drama,,1995
242,Farinelli: il castrato,Drama|Musical,,1994
243,Gordy,Comedy,,1995
244,Gumby: The Movie,Animation|Children's,,1995
245,The glass shield,Crime|Drama,,1994
246,Hoop Dreams,Documentary,,1994
247,Heavenly Creatures,Drama|Fantasy|Romance|Thriller,,1994
248,Houseguest,Comedy,,1994
249,Immortal Beloved,Drama|Romance,,1994
250,Heavyweights,Children's|Comedy,,1994
251,The hunted,Action,,1995
252,I.Q.,Comedy|Romance,,1994
253,Interview with the Vampire,Drama|Horror,,1994
254,Jefferson in Paris,Drama,,1995
255,The jerky boys,Comedy,,1994
256,Junior,Comedy|Sci-Fi,,1994
257,Just Cause,Mystery|Thriller,,1995
258,A kid in king arthur's court,Adventure|Children's|Comedy|Fantasy|Romance,,1995
259,Kiss of Death,Crime|Drama|Thriller,,1995
260,Star Wars: Episode IV - A New Hope,Action|Adventure|Fantasy|Sci-Fi,,1977
261,Little Women,Drama,,1994
262,A little princess,Children's|Drama,,1995
263,Ladybird Ladybird,Drama,,1994
264,EnferL',Drama,,1994
265,Like Water for Chocolate,Drama|Romance,Como agua para chocolate,1992
266,Legends of the Fall,Drama|Romance|War|Western,,1994
267,Major Payne,Comedy,,1994
268,Little Odessa,Drama,,1994
269,My Crazy Life,Drama,Mi vida loca,1993
270,Love Affair,Drama|Romance,,1994
271,Losing Isaiah,Drama,,1995
272,The madness of king george,Drama,,1994
273,Mary Shelley's Frankenstein,Drama|Horror,,1994
274,Man of the House,Comedy,,1995
275,Mixed Nuts,Comedy,,1994
276,Milk Money,Comedy|Romance,,1994
277,Miracle on 34th Street,Drama,,1994
278,Miami Rhapsody,Comedy,,1995
279,My Family,Drama,,1995
280,Murder in the First,Drama|Thriller,,1995
281,Nobody's Fool,Drama,,1994
282,Nell,Drama,,1994
283,New Jersey Drive,Crime|Drama,,1995
284,New York Cop,Action|Crime,,1996
285,Beyond Bedlam,Drama|Horror,,1993
286,Nemesis 2: Nebula,Action|Sci-Fi|Thriller,,1995
287,Nina Takes a Lover,Comedy|Romance,,1994
288,Natural Born Killers,Action|Thriller,,1994
289,Only You,Comedy|Romance,,1994
290,Once Were Warriors,Crime|Drama,,1994
291,Poison Ivy II,Thriller,,1995
292,Outbreak,Action|Drama|Thriller,,1995
293,The professional,Crime|Drama|Romance|Thriller, Leon: The Professional,1994
294,The perez family,Comedy|Romance,,1995
295,A pyromaniac's love story,Comedy|Romance,,1995
296,Pulp Fiction,Crime|Drama,,1994
297,Panther,Drama,,1995
298,Pushing Hands,Comedy,,1992
299,Priest,Drama,,1994
300,Quiz Show,Drama,,1994
301,Picture Bride,Drama|Romance,,1995
302,Queen Margot,Drama|Romance,La Reine Margot,1994
303,The quick and the dead,Action|Adventure|Western,,1995
304,Roommates,Comedy|Drama,,1995
305,Ready to Wear,Comedy,Pret-A-Porter,1994
306,Three Colors: Red,Drama,,1994
307,Three Colors: Blue,Drama,,1993
308,Three Colors: White,Drama,,1994
309,Red FirecrackerGreen Firecracker,Drama,,1994
310,Rent-a-Kid,Comedy,,1995
311,Relative Fear,Horror|Thriller,,1994
312,Stuart Saves His Family,Comedy,,1995
313,The swan princess,Animation|Children's,,1994
314,The secret of roan inish,Drama,,1994
315,The specialist,Action,,1994
316,Stargate,Action|Adventure|Sci-Fi,,1994
317,The santa clause,Children's|Comedy|Fantasy,,1994
318,The shawshank redemption,Drama,,1994
319,Shallow Grave,Thriller,,1994
320,Suture,Film-Noir|Thriller,,1993
321,Strawberry and Chocolate,Drama,Fresa y chocolate,1993
322,Swimming with Sharks,Comedy|Drama,,1995
324,The sum of us,Comedy,,1994
325,National Lampoon's Senior Trip,Comedy,,1995
326,To Live,Drama,Huozhe,1994
327,Tank Girl,Action|Comedy|Musical|Sci-Fi,,1995
328,Tales From the Crypt Presents: Demon Knight,Horror,,1995
329,Star Trek: Generations,Action|Adventure|Sci-Fi,,1994
330,Tales from the Hood,Comedy|Horror,,1995
331,Tom & Viv,Drama,,1994
332,Village of the Damned,Horror|Sci-Fi,,1995
333,Tommy Boy,Comedy,,1995
334,Vanya on 42nd Street,Drama,,1994
335,The underneath,Mystery|Thriller,,1995
336,The walking dead,Drama|War,,1995
337,What's Eating Gilbert Grape,Drama,,1993
338,Virtuosity,Sci-Fi|Thriller,,1995
339,While You Were Sleeping,Comedy|Romance,,1995
340,The war,Adventure|Drama,,1994
341,Double Happiness,Drama,,1994
342,Muriel's Wedding,Comedy|Romance,,1994
343,The baby-sitters club,Children's,,1995
344,Ace Ventura: Pet Detective,Comedy,,1994
345,The adventures of priscillaqueen of the desert,Comedy|Drama,,1994
346,Backbeat,Drama|Musical,,1993
347,Bitter Moon,Drama,,1992
348,Bullets Over Broadway,Comedy,,1994
349,Clear and Present Danger,Action|Adventure|Thriller,,1994
350,The client,Drama|Mystery|Thriller,,1994
351,CorrinaCorrina,Comedy|Drama|Romance,,1994
352,Crooklyn,Comedy,,1994
353,The crow,Action|Romance|Thriller,,1994
354,Cobb,Drama,,1994
355,The flintstones,Children's|Comedy,,1994
356,Forrest Gump,Comedy|Romance|War,,1994
357,Four Weddings and a Funeral,Comedy|Romance,,1994
358,Higher Learning,Drama,,1995
359,I Like It Like That,Comedy|Drama|Romance,,1994
360,I Love Trouble,Action|Comedy,,1994
361,It Could Happen to You,Drama|Romance,,1994
362,The jungle book,Adventure|Children's|Romance,,1994
363,The wonderfulhorrible life of leni riefenstahl,Documentary,Die Macht der Bilder,1993
364,The lion king,Animation|Children's|Musical,,1994
365,Little Buddha,Drama,,1993
366,Wes Craven's New Nightmare,Horror,,1994
367,The mask,Comedy|Crime|Fantasy,,1994
368,Maverick,Action|Comedy|Western,,1994
369,Mrs. Parker and the Vicious Circle,Drama,,1994
370,Naked Gun 33 1/3: The Final Insult,Comedy,,1994
371,The paper,Comedy|Drama,,1994
372,Reality Bites,Comedy|Drama,,1994
373,Red Rock West,Thriller,,1992
374,Richie Rich,Children's|Comedy,,1994
375,Safe Passage,Drama,,1994
376,The river wild,Action|Thriller,,1994
377,Speed,Action|Romance|Thriller,,1994
378,Speechless,Comedy|Romance,,1994
379,Timecop,Action|Sci-Fi,,1994
380,True Lies,Action|Adventure|Comedy|Romance,,1994
381,When a Man Loves a Woman,Drama,,1994
382,Wolf,Drama|Horror,,1994
383,Wyatt Earp,Western,,1994
384,Bad Company,Action,,1995
385,A man of no importance,Drama,,1994
386,S.F.W.,Drama,,1994
387,A low down dirty shame,Action|Comedy,,1994
388,Boys Life,Drama,,1995
389,Le colonel chabert,Drama|Romance|War,,1994
390,Faster Pussycat! Kill! Kill!,Action|Comedy|Drama,,1965
391,Jason's Lyric,Crime|Drama,,1994
392,The secret adventures of tom thumb,Adventure|Children's,,1993
393,Street Fighter,Action,,1994
394,Coldblooded,Action,,1995
395,Desert Winds,Drama,,1995
396,Fall Time,Drama,,1995
397,The fear,Horror,,1995
398,Frank and Ollie,Documentary,,1995
399,Girl in the Cadillac,Drama,,1995
400,Homage,Drama,,1995
401,Mirage,Action|Thriller,,1995
402,Open Season,Comedy,,1996
403,Two Crimes,Comedy|Crime|Drama,,1995
404,Brother Minister: The Assassination of Malcolm X,Documentary,,1994
405,Highlander III: The Sorcerer,Action|Sci-Fi,,1994
406,Federal Hill,Drama,,1994
407,In the Mouth of Madness,Horror|Thriller,,1995
408,8 Seconds,Drama,,1994
409,Above the Rim,Drama,,1994
410,Addams Family Values,Comedy,,1993
411,You So Crazy,Comedy,,1994
412,The age of innocence,Drama,,1993
413,Airheads,Comedy,,1994
414,The air up there,Comedy,,1994
415,Another Stakeout,Comedy|Thriller,,1993
416,Bad Girls,Western,,1994
417,Barcelona,Comedy|Romance,,1994
418,Being Human,Drama,,1993
419,The beverly hillbillies,Comedy,,1993
420,Beverly Hills Cop III,Action|Comedy,,1994
421,Black Beauty,Adventure|Children's,,1994
422,Blink,Thriller,,1994
423,Blown Away,Action|Thriller,,1994
424,Blue Chips,Drama,,1994
425,Blue Sky,Drama|Romance,,1994
426,Body Snatchers,Horror|Sci-Fi|Thriller,,1993
427,Boxing Helena,Mystery|Romance|Thriller,,1993
428,A bronx tale,Drama,,1993
429,Cabin Boy,Comedy,,1994
430,Calendar Girl,Drama,,1993
431,Carlito's Way,Crime|Drama,,1993
432,City Slickers II: The Legend of Curly's Gold,Comedy|Western,,1994
433,Clean Slate,Comedy,,1994
434,Cliffhanger,Action|Adventure|Crime,,1993
435,Coneheads,Comedy|Sci-Fi,,1993
436,Color of Night,Drama|Thriller,,1994
437,Cops and Robbersons,Comedy,,1994
438,The cowboy way,Action|Comedy,,1994
439,Dangerous Game,Drama,,1993
440,Dave,Comedy|Romance,,1993
441,Dazed and Confused,Comedy,,1993
442,Demolition Man,Action|Sci-Fi,,1993
443,The endless summer 2,Documentary,,1994
444,Even Cowgirls Get the Blues,Comedy|Romance,,1993
445,Fatal Instinct,Comedy,,1993
446,Farewell My Concubine,Drama|Romance,,1993
447,The favor,Comedy|Romance,,1994
448,Fearless,Drama,,1993
449,Fear of a Black Hat,Comedy,,1993
450,With Honors,Comedy|Drama,,1994
451,Flesh and Bone,Drama|Mystery|Romance,,1993
452,Widows' Peak,Drama,,1994
453,For Love or Money,Comedy,,1993
454,The firm,Drama|Thriller,,1993
455,Free Willy,Adventure|Children's|Drama,,1993
456,Fresh,Drama,,1994
457,The fugitive,Action|Thriller,,1993
458,Geronimo: An American Legend,Drama|Western,,1993
459,The getaway,Action,,1994
460,Getting Even with Dad,Comedy,,1994
461,Go Fish,Drama|Romance,,1994
462,A good man in africa,Action|Adventure,,1994
463,Guilty as Sin,Crime|Drama|Thriller,,1993
464,Hard Target,Action|Adventure|Crime|Thriller,,1993
465,Heaven & Earth,Action|Drama|War,,1993
466,Hot Shots! Part Deux,Action|Comedy|War,,1993
467,Live Nude Girls,Comedy,,1995
468,The englishman who went up a hillbut came down a mountain,Comedy|Romance,,1995
469,The house of the spirits,Drama|Romance,,1993
470,House Party 3,Comedy,,1994
471,The hudsucker proxy,Comedy|Romance,,1994
472,I'll Do Anything,Comedy|Drama,,1994
473,In the Army Now,Comedy|War,,1994
474,In the Line of Fire,Action|Thriller,,1993
475,In the Name of the Father,Drama,,1993
476,The inkwell,Comedy|Drama,,1994
477,What's Love Got to Do with It?,Drama,,1993
478,Jimmy Hollywood,Comedy,,1994
479,Judgment Night,Action,,1993
480,Jurassic Park,Action|Adventure|Sci-Fi,,1993
481,Kalifornia,Drama|Thriller,,1993
482,Killing Zoe,Thriller,,1994
483,King of the Hill,Drama,,1993
484,Lassie,Adventure|Children's,,1994
485,Last Action Hero,Action|Comedy,,1993
486,Life with Mikey,Comedy,,1993
487,Lightning Jack,Comedy|Western,,1994
488,M. Butterfly,Drama,,1993
489,Made in America,Comedy,,1993
490,Malice,Thriller,,1993
491,The man without a face,Drama,,1993
492,Manhattan Murder Mystery,Comedy|Mystery,,1993
493,Menace II Society,Action|Crime|Drama,,1993
494,Executive Decision,Action|Thriller,,1996
495,In the Realm of the Senses,Drama,Ai no corrida,1976
496,What Happened Was...,Comedy|Drama|Romance,,1994
497,Much Ado About Nothing,Comedy|Romance,,1993
498,Mr. Jones,Drama|Romance,,1993
499,Mr. Wonderful,Comedy|Romance,,1993
500,Mrs. Doubtfire,Comedy,,1993
501,Naked,Drama,,1993
502,The next karate kid,Action|Children's,,1994
503,The new age,Drama,,1994
504,No Escape,Action|Sci-Fi,,1994
505,North,Comedy,,1994
506,Orlando,Drama,,1993
507,A perfect world,Action|Drama,,1993
508,Philadelphia,Drama,,1993
509,The piano,Drama|Romance,,1993
510,Poetic Justice,Drama,,1993
511,The program,Action|Drama,,1993
512,Robert A. Heinlein's The Puppet Masters,Horror|Sci-Fi,,1994
513,Radioland Murders,Comedy|Mystery|Romance,,1994
514,The ref,Comedy,,1994
515,The remains of the day,Drama,,1993
516,Renaissance Man,Comedy|Drama|War,,1994
517,Rising Sun,Action|Drama|Mystery,,1993
518,The road to wellville,Comedy,,1994
519,Robocop 3,Sci-Fi|Thriller,,1993
520,Robin Hood: Men in Tights,Comedy,,1993
521,Romeo Is Bleeding,Crime|Thriller,,1993
522,Romper Stomper,Action|Drama,,1992
523,Ruby in Paradise,Drama,,1993
524,Rudy,Drama,,1993
525,The saint of fort washington,Drama,,1993
526,Savage Nights,Drama,Nuits fauvesLes,1992
527,Schindler's List,Drama,,1993
528,The scout,Drama,,1994
529,Searching for Bobby Fischer,Drama,,1993
530,Second Best,Drama,,1994
531,The secret garden,Children's|Drama,,1993
532,Serial Mom,Comedy|Crime|Horror,,1994
533,The shadow,Action,,1994
534,Shadowlands,Drama|Romance,,1993
535,Short Cuts,Drama,,1993
536,A simple twist of fate,Drama,,1994
537,Sirens,Comedy|Drama,,1994
538,Six Degrees of Separation,Drama,,1993
539,Sleepless in Seattle,Comedy|Romance,,1993
540,Sliver,Thriller,,1993
541,Blade Runner,Film-Noir|Sci-Fi,,1982
542,Son in Law,Comedy,,1993
543,So I Married an Axe Murderer,Comedy|Romance|Thriller,,1993
544,Striking Distance,Action,,1993
545,Harlem,Drama,,1993
546,Super Mario Bros.,Action|Adventure|Children's|Sci-Fi,,1993
547,Surviving the Game,Action|Adventure|Thriller,,1994
548,Terminal Velocity,Action,,1994
549,Thirty-Two Short Films About Glenn Gould,Documentary,,1993
550,Threesome,Comedy|Romance,,1994
551,The nightmare before christmas,Children's|Comedy|Musical,,1993
552,The three musketeers,Action|Adventure|Comedy,,1993
553,Tombstone,Western,,1993
554,Trial by Jury,Thriller,,1994
555,True Romance,Action|Crime|Romance,,1993
556,The war room,Documentary,,1993
557,Mamma Roma,Drama,,1962
558,The pagemaster,Action|Adventure|Animation|Children's|Fantasy,,1994
559,ParisFrance,Comedy,,1993
560,The beans of egyptmaine,Drama,,1994
561,Killer,Thriller,Bulletproof Heart,1994
562,Welcome to the Dollhouse,Comedy|Drama,,1995
563,Germinal,Drama,,1993
564,Chasers,Comedy,,1994
565,Cronos,Horror,,1992
566,Naked in New York,Comedy|Romance,,1994
567,Kika,Drama,,1993
568,Bhaji on the Beach,Comedy|Drama,,1993
569,Little Big League,Children's|Comedy,,1994
570,The slingshot,Comedy|Drama,Kådisbellan,1993
571,The wedding gift,Drama,,1994
572,Foreign Student,Drama,,1994
573,CiaoProfessore!,Drama,Io speriamo che me la cavo,1993
574,Spanking the Monkey,Comedy|Drama,,1994
575,The little rascals,Children's|Comedy,,1994
576,Fausto,Comedy,,1993
577,Andre,Adventure|Children's,,1994
578,The hour of the pig,Drama|Mystery,,1993
579,La scorta,Thriller,,1993
580,Princess Caraboo,Drama,,1994
581,The celluloid closet,Documentary,,1995
582,Metisse,Comedy,Café au Lait,1993
583,Dear Diary,Comedy|Drama,Caro Diario,1994
584,I Don't Want to Talk About It,Drama,De eso no se habla,1993
585,The brady bunch movie,Comedy,,1995
586,Home Alone,Children's|Comedy,,1990
587,Ghost,Comedy|Romance|Thriller,,1990
588,Aladdin,Animation|Children's|Comedy|Musical,,1992
589,Terminator 2: Judgment Day,Action|Sci-Fi|Thriller,,1991
590,Dances with Wolves,Adventure|Drama|Western,,1990
591,Tough and Deadly,Action|Drama|Thriller,,1995
592,Batman,Action|Adventure|Crime|Drama,,1989
593,The silence of the lambs,Drama|Thriller,,1991
594,Snow White and the Seven Dwarfs,Animation|Children's|Musical,,1937
595,Beauty and the Beast,Animation|Children's|Musical,,1991
596,Pinocchio,Animation|Children's,,1940
597,Pretty Woman,Comedy|Romance,,1990
598,Window to Paris,Comedy,,1994
599,The wild bunch,Western,,1969
600,Love and a .45,Thriller,,1994
601,The wooden man's bride,Drama,Wu Kui,1994
602,A great day in harlem,Documentary,,1994
603,Bye ByeLove,Comedy,,1995
604,Criminals,Documentary,,1996
605,One Fine Day,Drama|Romance,,1996
606,Candyman: Farewell to the Flesh,Horror,,1995
607,Century,Drama,,1993
608,Fargo,Drama,,1996
609,Homeward Bound II: Lost in San Francisco,Adventure|Children's,,1996
610,Heavy Metal,Action|Adventure|Animation|Horror|Sci-Fi,,1981
611,Hellraiser: Bloodline,Action|Horror|Sci-Fi,,1996
612,The pallbearer,Comedy,,1996
613,Jane Eyre,Drama|Romance,,1996
614,Loaded,Drama|Thriller,,1994
615,Bread and Chocolate,Drama,Pane e cioccolata,1973
616,The aristocats,Animation|Children's,,1970
617,The flower of my secret,Drama,La Flor de Mi Secreto,1995
618,Two Much,Comedy|Romance,,1996
619,Ed,Comedy,,1996
620,Scream of Stone,Drama,Schrei aus Stein,1991
621,My Favorite Season,Drama,,1993
623,A modern affair,Romance,,1995
624,Condition Red,Action|Drama|Thriller,,1995
625,Asfour Stah,Drama,,1990
626,A thin line between love and hate,Comedy,,1996
627,The last supper,Drama|Thriller,,1995
628,Primal Fear,Drama|Thriller,,1996
629,Rude,Drama,,1995
630,Carried Away,Drama|Romance,,1996
631,All Dogs Go to Heaven 2,Animation|Children's|Musical,,1996
632,Land and Freedom,War,Tierra y libertad,1995
633,Denise Calls Up,Comedy,,1995
634,Theodore Rex,Comedy,,1995
635,A family thing,Comedy|Drama,,1996
636,Frisk,Drama,,1995
637,Sgt. Bilko,Comedy,,1996
638,Jack and Sarah,Romance,,1995
639,Girl 6,Comedy,,1996
640,Diabolique,Drama|Thriller,,1996
